"name","dd"
"Abaurrea Alta",FALSE
"Ahetze",TRUE
"Aïnhoa",TRUE
"Albiasu",FALSE
"Albóniga",FALSE
"Alcayaga",FALSE
"Aldudes",FALSE
"Almándoz",FALSE
"Alsasua",TRUE
"Amézqueta",FALSE
"Andoain",FALSE
"Anguiozar",FALSE
"Aniz",FALSE
"Anoz",FALSE
"Aranaz",FALSE
"Arano",FALSE
"Arbaiza",FALSE
"Arbizu",FALSE
"Arbonne",TRUE
"Arcangues",TRUE
"Areso",FALSE
"Aria",FALSE
"Arive",FALSE
"Arizcun",TRUE
"Arizu",FALSE
"Aróstegui",FALSE
"Arrancudiaga",FALSE
"Arrarás",FALSE
"Arráyoz",FALSE
"Arriandi",FALSE
"Arrieta",FALSE
"Arrigorriaga",FALSE
"Arrona",FALSE
"Arruiz",FALSE
"Ascain",TRUE
"Astiz",FALSE
"Atallo",FALSE
"Ataun",FALSE
"Auza",FALSE
"Aya",FALSE
"Azcárate",FALSE
"Azcoitia",FALSE
"Azpeitia",FALSE
"Azpilcueta",FALSE
"Azpiroz",FALSE
"Bacáicoa",FALSE
"Banca",FALSE
"Baráibar",FALSE
"Barrica",FALSE
"Bassussary",TRUE
"Baztango bordak",FALSE
"Begoña",FALSE
"Beorburu",FALSE
"Berasáin",FALSE
"Berástegui",FALSE
"Bermeo",FALSE
"Beruete",FALSE
"Betelu",FALSE
"Beunza",FALSE
"Bidarray",FALSE
"Bidart",TRUE
"Biriatou",TRUE
"Burguete",TRUE
"Butrón",FALSE
"Cambo",FALSE
"Ceánuri",FALSE
"Cegama",FALSE
"Château d’ Ilbaritz",TRUE
"Cía",FALSE
"Cilveti",FALSE
"Deva",FALSE
"Donostia-San Sebastián",TRUE
"Echagüen",FALSE
"Echalar",TRUE
"Echalecu",FALSE
"Echarri-Aranaz",TRUE
"Éibar",FALSE
"Elcano",FALSE
"Elgóibar",FALSE
"Elizaberry",FALSE
"Elizondo",FALSE
"Elorrio",FALSE
"Erasun",FALSE
"Ereño",FALSE
"Ergoyen",FALSE
"Errazquin",FALSE
"Errazu",FALSE
"Erro",FALSE
"Escoriaza",FALSE
"Espelette",TRUE
"Espinal",FALSE
"Esquíroz",FALSE
"Eugui",FALSE
"Ezcurra",FALSE
"Fuenterrabía",TRUE
"Garralda",FALSE
"Garzáin",FALSE
"Garzarón",FALSE
"Gascue",FALSE
"Gaviria",FALSE
"Goizueta",FALSE
"Goldáraz",FALSE
"Goñi",FALSE
"Gorriti",FALSE
"Guernica",FALSE
"Guéthary",TRUE
"Gurbízar",FALSE
"Gurutze",FALSE
"Hasparren",FALSE
"Hendaye",TRUE
"Hernani",FALSE
"Huarte-Araquil",FALSE
"Huici",FALSE
"Ichaso",FALSE
"Icíar",FALSE
"Igoa",FALSE
"Ilarregui",FALSE
"Ilúrdoz",FALSE
"Inza",FALSE
"Iragui",FALSE
"Irañeta",FALSE
"Irún",TRUE
"Irurita",FALSE
"Ituren",FALSE
"Iturriotz",TRUE
"Itxassou",FALSE
"Lacunza",FALSE
"La Marina",TRUE
"Lanz",FALSE
"Larrabezúa",FALSE
"Larraingoa",FALSE
"Latasa",FALSE
"Leazkue",FALSE
"Lecároz",FALSE
"Lecumberri",FALSE
"Legasa",TRUE
"Legazpia",FALSE
"Leiza",FALSE
"Lequeitio",TRUE
"Leránoz",FALSE
"Lesaca",FALSE
"Lezo",TRUE
"Linzoáin",FALSE
"Lizarraga",FALSE
"Lizaso",FALSE
"Louhossoa",FALSE
"Macaye",FALSE
"Madoz",FALSE
"Marquina",FALSE
"Maya",FALSE
"Mendionde",FALSE
"Mezquíriz",FALSE
"Motrico",FALSE
"Muzquiz",FALSE
"Ochandiano",FALSE
"Olabarrieta",FALSE
"Olaeta",FALSE
"Olagüe",FALSE
"Olazagutía",FALSE
"Olóndriz",FALSE
"Olza",FALSE
"Oñate",FALSE
"Ondárroa",FALSE
"Orbaiceta",FALSE
"Orio",FALSE
"Oronoz",FALSE
"Oroquieta",FALSE
"Ossès",FALSE
"Oyarzun",FALSE
"Placencia",FALSE
"Puente la Reina",FALSE
"Quinto-X",FALSE
"Régil",FALSE
"Rentería",FALSE
"Saint-Étienne-de-Baïgorry",FALSE
"Saint-Jean-de-Luz",TRUE
"Saint-Pée",TRUE
"Saldías",FALSE
"Santesteban",TRUE
"Sare",TRUE
"Souraïde",TRUE
"Sumbilla",FALSE
"Tolosa",FALSE
"Torrano",FALSE
"Ubidea",FALSE
"Unanua",FALSE
"Urdax",TRUE
"Urdiáin",FALSE
"Urepel",FALSE
"Urrizola",FALSE
"Urrizola-Hego",FALSE
"Urroz de Santesteban",FALSE
"Urrugne",TRUE
"Urtasun",FALSE
"Urucuray",FALSE
"Usechi",FALSE
"Ustaritz",FALSE
"Usúrbil",FALSE
"Valle de Aramayona",FALSE
"Vera",TRUE
"Vidania",FALSE
"Villanueva de Aézcoa",FALSE
"Villarreal de Álava",FALSE
"Villarreal de Urrechu",FALSE
"Villefranque",FALSE
"Yábar",FALSE
"Yanci",FALSE
"Yurre",FALSE
"Zaldívar",FALSE
"Zaldivia",FALSE
"Zamalbide",TRUE
"Zamudio",FALSE
"Zarauz",FALSE
"Zubieta",FALSE
"Zugarramurdi",TRUE
